"TIME","GEO","WASTE","WST_OPER","UNIT","Value","Flag and Footnotes"
"2000","France","Packaging","Waste generated","Tonne","12,499,000",""
"2000","France","Packaging","Recovery","Kilograms per capita","117.26",""
"2000","France","Packaging","Recovery","Tonne","7,125,000",""
"2000","Croatia","Packaging","Waste generated","Kilograms per capita",":",""
"2000","Croatia","Packaging","Waste generated","Tonne",":",""
"2000","Croatia","Packaging","Recovery","Kilograms per capita",":",""
"2000","Croatia","Packaging","Recovery","Tonne",":",""
"2000","Italy","Packaging","Waste generated","Kilograms per capita","196.13",""
"2000","Italy","Packaging","Waste generated","Tonne","11,168,200",""
"2000","Italy","Packaging","Recovery","Kilograms per capita","83.43",""
"2000","Italy","Packaging","Recovery","Tonne","4,750,500",""
"2000","Cyprus","Packaging","Waste generated","Kilograms per capita",":",""
"2000","Cyprus","Packaging","Waste generated","Tonne",":",""
"2000","Cyprus","Packaging","Recovery","Kilograms per capita",":",""
"2000","Cyprus","Packaging","Recovery","Tonne",":",""
"2000","Latvia","Packaging","Waste generated","Kilograms per capita",":",""
"2000","Latvia","Packaging","Waste generated","Tonne",":",""
"2000","Latvia","Packaging","Recovery","Kilograms per capita",":",""
